J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-89.9999996, -89.3582884, -90.3752475, -90.2664641, 90.0000000, 0.0000004, 0.0000000, 2.8661142, 0.2500000, 23.0000000, 0.1000000, -163.8999957, -680.4317348, 651.1198886, 0.0000014, 2.5000000, -1.4500839, -1.0499161, 0.0000000, 0.0000014, 0.0000135, 23.9793903, -13.9009480, -10.0784423, 0.0000000, 0.0000135
-89.9999994, -88.8902351, -90.6467342, -90.4630308, 90.0000000, 0.0000006, 0.0000000, 5.3593152, 0.7180533, 23.0000000, 0.1000000, -163.8999927, -675.4146604, 653.0043577, 0.0000026, 4.6805330, -2.7148663, -1.9656668, 0.0000000, 0.0000026, 0.0000123, 21.8053304, -12.6478235, -9.1575069, 0.0000000, 0.0000123
-89.9999993, -88.8281984, -90.6827175, -90.4890841, 90.0000000, 0.0000007, 0.0000000, 0.7096841, 0.7800900, 23.0000000, 0.0498143, -163.8999923, -674.7492350, 653.2510569, 0.0000007, 1.2453582, -0.7223496, -0.5230087, 0.0000000, 0.0000007, -0.0000388, -68.9595716, 39.9988661, 28.9607055, 0.0000000, -0.0000388
-89.9999993, -88.8273444, -90.6832063, -90.4894494, 90.0000000, 0.0000007, 0.0000000, 0.0097923, 0.0008540, 23.0000000, 0.0082657, -163.8999923, -674.7400732, 653.2545140, 0.0000001, 0.1033209, -0.0591295, -0.0441914, 0.0000000, 0.0000001, -0.0000776, -138.1663278, 80.2379026, 57.9284252, 0.0000000, -0.0000776
-89.9999992, -88.5773444, -90.8243420, -90.5983136, 90.0000000, 0.0000008, 0.0000000, 2.8723222, 0.2500000, 24.0000000, 0.1000000, -163.8999906, -672.0570440, 654.2799842, 0.0000014, 2.5000000, -1.4113578, -1.0886422, 0.0000000, 0.0000014, 0.0000139, 23.9667912, -13.5222827, -10.4445085, 0.0000000, 0.0000139
-89.9999989, -88.1103194, -91.0879978, -90.8016828, 90.0000000, 0.0000011, 0.0000000, 5.3591012, 0.7170250, 24.0000000, 0.1000000, -163.8999875, -667.0401650, 656.1643651, 0.0000027, 4.6702495, -2.6365572, -2.0336924, 0.0000000, 0.0000027, 0.0000125, 21.7024954, -12.2519942, -9.4505012, 0.0000000, 0.0000125
-89.9999989, -88.0489624, -91.1226364, -90.8284011, 90.0000000, 0.0000011, 0.0000000, 0.7034252, 0.7783820, 24.0000000, 0.0495407, -163.8999871, -666.3806129, 656.4089011, 0.0000007, 1.2385173, -0.6991964, -0.5393209, 0.0000000, 0.0000007, -0.0000400, -69.2709809, 39.1064549, 30.1645261, 0.0000000, -0.0000400
-89.9999989, -88.0480843, -91.1231253, -90.8287903, 90.0000000, 0.0000011, 0.0000000, 0.0100902, 0.0008781, 24.0000000, 0.0083813, -163.8999871, -666.3711724, 656.4124634, 0.0000001, 0.1047659, -0.0583333, -0.0464327, 0.0000000, 0.0000001, -0.0000781, -135.2719583, 76.4636874, 58.8082709, 0.0000000, -0.0000781
-89.9999987, -87.7980843, -91.2603864, -90.9415292, 90.0000000, 0.0000013, 0.0000000, 2.8787169, 0.2500000, 25.0000000, 0.1000000, -163.8999855, -663.6821480, 657.4401593, 0.0000015, 2.5000000, -1.3726109, -1.1273891, 0.0000000, 0.0000015, 0.0000142, 23.9523407, -13.1427759, -10.8095648, 0.0000000, 0.0000142
-89.9999985, -87.3321198, -91.5162216, -91.1516586, 90.0000000, 0.0000015, 0.0000000, 5.3588294, 0.7159645, 25.0000000, 0.1000000, -163.8999824, -658.6655181, 659.3244301, 0.0000028, 4.6596451, -2.5583518, -2.1012933, 0.0000000, 0.0000028, 0.0000128, 21.5964507, -11.8574092, -9.7390415, 0.0000000, 0.0000128
